08.12.2024 19:38:33
Scoring: RSE
Best score: -0.08167004287652026
best params: OrderedDict([('model__bootstrap', False), ('model__max_depth', 30), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__n_estimators', 300)])
CV results:
                                                                                                                                             params  mean_test_score  std_test_score  rank_test_score
2        {'model__bootstrap': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__n_estimators': 20}       -37.309803        4.490579               34
9       {'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_split': 20, 'model__n_estimators': 100}       -37.399992        4.178215               36
16     {'model__bootstrap': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 10, 'model__n_estimators': 60}       -37.704128        5.255351               37
10    {'model__bootstrap': False, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 20, 'model__n_estimators': 40}       -38.418330        6.071921               38
31    {'model__bootstrap': True, 'model__max_depth': 60, 'model__max_features': 'sqrt', 'model__min_samples_split': 12, 'model__n_estimators': 150}       -38.859915        5.466870               39
48     {'model__bootstrap': True, 'model__max_depth': 40, 'model__max_features': 'sqrt', 'model__min_samples_split': 11, 'model__n_estimators': 50}       -39.241434        5.038488               40
1      {'model__bootstrap': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__n_estimators': 90}       -40.111437        5.071036               41
4      {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__n_estimators': 40}       -43.152799        5.745814               42
13       {'model__bootstrap': False, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 2, 'model__n_estimators': 20}       -43.219984        5.078844               43
41      {'model__bootstrap': False, 'model__max_depth': 40, 'model__max_features': None, 'model__min_samples_split': 4, 'model__n_estimators': 200}       -43.326467        5.068719               44
36      {'model__bootstrap': False, 'model__max_depth': 100, 'model__max_features': None, 'model__min_samples_split': 5, 'model__n_estimators': 50}       -44.287202        4.980119               45
21     {'model__bootstrap': True, 'model__max_depth': 60, 'model__max_features': 'sqrt', 'model__min_samples_split': 17, 'model__n_estimators': 70}       -44.596113        6.430635               46
28    {'model__bootstrap': True, 'model__max_depth': 40, 'model__max_features': 'sqrt', 'model__min_samples_split': 18, 'model__n_estimators': 150}       -45.143063        6.643591               47
39     {'model__bootstrap': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 18, 'model__n_estimators': 30}       -48.828648        6.901962               48
3       {'model__bootstrap': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__n_estimators': 20}       -52.479312        5.922090               49
25      {'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_split': 18, 'model__n_estimators': 70}       -52.484406        6.725047               50


