08.12.2024 11:42:49
Scoring: RSE
Best score: -0.0926801555831973
best params: OrderedDict([('model__boot_type', False), ('model__max_depth', 40), ('model__max_features', 'log2'), ('model__min_samples_split', 2), ('model__nb_samples', 'Full'), ('model__nb_trees', 40)])
CV results:
                                                                                                                                                                    params  mean_test_score  std_test_score  rank_test_score
15    {'model__boot_type': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 20, 'model__nb_samples': 'Full', 'model__nb_trees': 40}       -41.383133        5.983548               36
1         {'model__boot_type': True, 'model__max_depth': 30, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__nb_samples': 0.7, 'model__nb_trees': 70}       -42.015948        5.951326               37
49      {'model__boot_type': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 12, 'model__nb_samples': 0.4, 'model__nb_trees': 300}       -43.019772        6.198160               38
5       {'model__boot_type': False, 'model__max_depth': 50, 'model__max_features': 'log2', 'model__min_samples_split': 11, 'model__nb_samples': 0.3, 'model__nb_trees': 200}       -48.067927        7.181516               39
40       {'model__boot_type': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 2, 'model__nb_samples': 0.2, 'model__nb_trees': 100}       -48.129180        7.125182               40
30      {'model__boot_type': False, 'model__max_depth': -1, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 'Full', 'model__nb_trees': 200}       -50.904005        8.334097               41
32      {'model__boot_type': False, 'model__max_depth': 70, 'model__max_features': None, 'model__min_samples_split': 14, 'model__nb_samples': 'Full', 'model__nb_trees': 20}       -54.431601        8.310466               42
2           {'model__boot_type': True, 'model__max_depth': 80, 'model__max_features': None, 'model__min_samples_split': 17, 'model__nb_samples': 0.2, 'model__nb_trees': 80}       -55.561271        8.234959               43
22           {'model__boot_type': True, 'model__max_depth': -1, 'model__max_features': None, 'model__min_samples_split': 2, 'model__nb_samples': 0.1, 'model__nb_trees': 30}       -55.821143        7.836415               44
41      {'model__boot_type': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_split': 20, 'model__nb_samples': 0.3, 'model__nb_trees': 150}       -59.441617        9.127420               45
3          {'model__boot_type': False, 'model__max_depth': 30, 'model__max_features': None, 'model__min_samples_split': 19, 'model__nb_samples': 0.2, 'model__nb_trees': 30}       -60.075760        8.759537               46
4         {'model__boot_type': True, 'model__max_depth': 90, 'model__max_features': 'sqrt', 'model__min_samples_split': 14, 'model__nb_samples': 0.3, 'model__nb_trees': 90}       -62.696688       11.021126               47
25        {'model__boot_type': True, 'model__max_depth': 50, 'model__max_features': 'sqrt', 'model__min_samples_split': 10, 'model__nb_samples': 0.1, 'model__nb_trees': 50}       -94.403722       14.217124               48
38        {'model__boot_type': True, 'model__max_depth': -1, 'model__max_features': 'log2', 'model__min_samples_split': 10, 'model__nb_samples': 0.1, 'model__nb_trees': 10}       -95.679890       11.828323               49
37      {'model__boot_type': False, 'model__max_depth': 100, 'model__max_features': 'log2', 'model__min_samples_split': 19, 'model__nb_samples': 0.1, 'model__nb_trees': 40}      -102.875658       16.873008               50


